Cape Name,Amount of people who have it
Pan,6024829
Migrator,2747131
15th Anniversery,1513983
Common,1220394
Vinilla,647694
Cherry Blossom,551512
Purple Heart,480712
Follower's,457149
Menace,391810
Home,248183
Copper,247732
Mojang Office,203255
Yearn,168570
Founder's,148685
Zombie Horse,134520
MCC 15th Year,125941
Builder,64935
Minecraft Experience,48315
MineCon 2016,7273
MineCon 2015,6810
MineCon 2013,6177
MineCon 2012,4060
MineCon 2011,3541
Crafter,3240
Moonlight Trail,2119
Realms Mapmaker,410
Mojang Office,213
Mojang Studios,195
Translater,96
Mojira Moderator,53
Mojang (classic),29
Cobalt,18
Scrolls,9
Translater (Classic),3
Turtle,3
Test,2
Valentine,2
Birthday,1
dB,1
Document,1
millionth Customer,1
Oxeye,1
Prismarine,1
Snowman,1
Spade,1
Translater (Japanese),1
